LINEUPS,GP,W,L,MIN,OPP,OPP,OPP,OPP,OPP,OPP,OPP,OPP,OPP,OPP,OPP,OPP,OPP,OPP,OPP,OPP,OPP,OPP,OPP,OPP,+/-
,,,,,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,
K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - M. Porter Jr.,41,27,14,17.2,15.7,31.9,49.3,3.9,11.3,34.5,5,6.6,75.6,3.5,10.8,14.3,10,4.8,2.9,1.5,1.3,6.6,5.4,40.3,-4.9
K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - B. Brown,40,27,13,8.2,7.3,14.7,49.3,2.1,5.7,36.7,2.4,3.1,76.4,1.5,5,6.5,4.6,2.6,1.2,0.6,0.8,4,2.8,19,-1.5
K. Caldwell-Pope - A. Gordon - N. Jokic - B. Brown - M. Porter Jr.,34,22,12,6.6,5.6,12.1,45.9,1.6,4.6,34.2,3,3.6,82.1,1.3,4.4,5.7,3.4,1.8,1,0.6,0.7,2.7,2.5,15.6,-2.1
K. Caldwell-Pope - A. Gordon - N. Jokic - B. Brown - C. Braun,26,16,10,2.5,1.8,4.2,42.6,0.3,1.5,23.1,1.2,1.4,81.1,0.5,1.1,1.6,1.1,1.2,0.7,0.3,0.3,1.2,1.2,5,-1.4
A. Gordon - N. Jokic - J. Murray - B. Brown - M. Porter Jr.,15,12,3,4,3.1,7.5,41.6,1,3.3,30.6,0.6,0.7,81.8,0.7,2.1,2.9,1.6,1,0.5,0.4,0.5,1.3,1.1,7.9,-2.6
K. Caldwell-Pope - A. Gordon - N. Jokic - B. Brown - B. Hyland,15,12,3,1.6,1.6,2.9,55.8,0.6,1.3,45,0.4,0.7,54.5,0.3,0.9,1.1,1.3,0.3,0.2,0.1,0,0.6,0.5,4.2,0.4
J. Green - K. Caldwell-Pope - N. Jokic - J. Murray - B. Brown,15,10,5,1.2,1.1,2.2,51.5,0.5,1.1,47.1,0.4,0.4,100,0.1,0.8,0.9,0.8,0.2,0.2,0.1,0.1,0.6,0.3,3.2,0.3
K. Caldwell-Pope - N. Jokic - V. Cancar - B. Brown - M. Porter Jr.,14,14,0,5.7,5.1,10.4,48.6,1.2,3.5,34.7,1.5,1.9,80.8,0.9,3.6,4.5,2.8,1.7,1,0.5,0.6,2.5,1.2,12.9,-2.4
J. Green - K. Caldwell-Pope - N. Jokic - B. Brown - C. Braun,13,9,4,1.5,1.3,2.4,54.8,0.7,1.4,50,0.4,0.6,62.5,0.3,0.8,1.1,1,0.7,0.4,0.1,0.2,0.5,0.7,3.7,-0.8
A. Gordon - N. Jokic - J. Murray - B. Brown - C. Braun,11,10,1,0.8,0.5,1.5,35.3,0.1,0.4,25,0.5,0.5,83.3,0.2,0.5,0.6,0.2,0.1,0.2,0,0,0.3,0.2,1.6,0
J. Green - N. Jokic - J. Murray - B. Brown - C. Braun,10,8,2,1.7,1.6,3.1,51.6,0.2,0.8,25,0.8,0.9,88.9,0.5,0.8,1.3,0.8,0.4,0.8,0,0.3,0.9,0.4,4.2,-0.1
A. Gordon - N. Jokic - J. Murray - B. Brown - B. Hyland,10,8,2,0.7,0.7,1.1,63.6,0.5,0.6,83.3,0.1,0.1,100,0,0.1,0.1,0.4,0.3,0.1,0,0.1,0.1,0,2,-0.2
A. Gordon - N. Jokic - B. Brown - B. Hyland - C. Braun,10,7,3,0.4,0.2,0.8,25,0.2,0.4,50,0.2,0.2,100,0,0.3,0.3,0.2,0,0.3,0,0.1,0.4,0.3,0.8,-0.3
K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - C. Braun,9,7,2,2.7,2.7,5,53.3,0.8,2.1,36.8,0.3,0.3,100,0.1,1.6,1.7,1.4,0.9,0.6,0.2,0.3,0.6,0.2,6.4,-0.7
J. Green - N. Jokic - B. Brown - B. Hyland - C. Braun,9,7,2,2.1,1.8,3.9,45.7,0.8,1.3,58.3,0.3,0.4,75,0.2,1.4,1.7,1.2,0.3,0.1,0.1,0.1,1.7,0.4,4.7,-1
N. Jokic - J. Murray - V. Cancar - B. Brown - B. Hyland,9,8,1,2,2.2,4,55.6,0.8,1.8,43.8,0.4,0.4,100,0.4,1.1,1.6,1.8,0.8,0.7,0.3,0.2,1,0.7,5.7,0.6
J. Green - K. Caldwell-Pope - N. Jokic - J. Murray - M. Porter Jr.,9,5,4,1.6,1.1,2.6,43.5,0,0.7,0,0.8,1,77.8,0.2,1.1,1.3,0.3,0.4,0.2,0.1,0,1,0.7,3,-1.2
J. Green - N. Jokic - J. Murray - B. Brown - M. Porter Jr.,9,7,2,1.2,0.7,1.8,37.5,0.2,0.7,33.3,1.4,1.6,92.9,0.3,0.7,1,0.3,0.3,0.2,0.1,0,0.7,0.9,3,-0.2
J. Green - A. Gordon - N. Jokic - J. Murray - B. Brown,9,6,3,1,0.9,1.6,57.1,0.3,0.9,37.5,0.1,0.1,100,0.1,0.6,0.7,0.8,0.3,0.1,0.3,0,0.4,0.2,2.2,-0.4
J. Green - N. Jokic - B. Brown - M. Porter Jr. - C. Braun,8,6,2,2.8,2,4.8,42.1,0.9,2.8,31.8,1,1.1,88.9,0.3,1.6,1.9,1.1,1.1,0.6,0.4,0.1,0.4,1.3,5.9,-1.6
K. Caldwell-Pope - A. Gordon - N. Jokic - M. Porter Jr. - B. Hyland,8,6,2,1.8,2,3.5,57.1,0.6,1.3,50,0.9,1,87.5,0.3,1.3,1.5,1.8,0.1,0.1,0.3,0,0.8,0.9,5.5,0.4
J. Green - K. Caldwell-Pope - N. Jokic - B. Brown - B. Hyland,8,7,1,1.7,1.5,2.9,52.2,0.4,1.3,30,0.1,0.3,50,0.3,1,1.3,1.3,1,0,0.1,0.3,1,0.4,3.5,-0.6
J. Green - K. Caldwell-Pope - A. Gordon - N. Jokic - B. Brown,8,6,2,0.9,0.6,1.9,33.3,0.1,0.5,25,0.1,0.4,33.3,0.1,0.4,0.5,0.5,0,0.1,0.1,0.1,0.3,0.1,1.5,-1.1
J. Green - R. Jackson - N. Jokic - J. Murray - B. Brown,7,4,3,3.3,3.4,5.7,60,1.1,1.9,61.5,1.3,1.6,81.8,0.7,2.4,3.1,2.1,0.9,0.7,0.1,0.6,1.6,1.1,9.3,2.7
K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - V. Cancar,7,4,3,2.1,2.1,4.3,50,0.3,1.6,18.2,0.3,0.9,33.3,0.9,1.1,2,1,1,0.1,0.4,0.3,0.9,0.7,4.9,-2
A. Gordon - N. Jokic - B. Brown - M. Porter Jr. - C. Braun,7,5,2,1.8,1.6,3.3,47.8,0.1,1.1,12.5,0.7,1,71.4,0.6,1.6,2.1,1,0.4,0.4,0,0,1,0.9,4,0.4
J. Green - K. Caldwell-Pope - N. Jokic - B. Brown - M. Porter Jr.,7,6,1,1.7,1.6,3.3,47.8,0.3,0.9,33.3,0.9,0.9,100,0.4,0.4,0.9,1,0.4,0.6,0,0,1.6,0.7,4.3,-1.4
K. Caldwell-Pope - N. Jokic - J. Murray - V. Cancar - M. Porter Jr.,6,5,1,11.5,10.7,21.8,48.9,1.8,6.5,28.2,3.7,5.3,68.8,2.5,8.2,10.7,5.5,2.7,1.8,0.7,1.2,5.2,4.3,26.8,-1.8
K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - B. Hyland,6,4,2,3,2.5,5.2,48.4,0.8,2.5,33.3,2,3,66.7,0.7,1.8,2.5,1.7,1,0.3,0.2,0.2,2.3,1.8,7.8,-1.7
J. Green - N. Jokic - J. Murray - B. Brown - B. Hyland,6,4,2,2.1,2.2,3.5,61.9,1.3,2.2,61.5,0.5,0.5,100,0.3,1,1.3,1.3,1,0.5,0,0.2,0.7,0.5,6.2,0.8
J. Green - R. Jackson - K. Caldwell-Pope - N. Jokic - B. Brown,6,3,3,1.9,1.7,3.2,52.6,0.5,1.8,27.3,1.3,1.3,100,0,1,1,1,0.5,0.2,0,0,0.3,0.8,5.2,1
J. Green - N. Jokic - J. Murray - B. Hyland - C. Braun,6,6,0,1.3,1.2,2.3,50,0.3,0.8,40,0.7,0.7,100,0,1,1,1,0.3,0,0.3,0.2,0.5,0.3,3.3,-0.5
A. Gordon - N. Jokic - B. Brown - M. Porter Jr. - B. Hyland,6,4,2,0.9,0.8,1.5,55.6,0.3,0.7,50,0,0,0,0.2,0.5,0.7,0.7,0.2,0,0,0,0.5,0.2,2,-0.2
I. Smith - K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray,6,5,1,0.9,0.7,1.5,44.4,0.2,0.5,33.3,0,0,0,0,0.5,0.5,0.5,0.8,0.3,0,0.3,0.3,0.2,1.5,-0.8
K. Caldwell-Pope - A. Gordon - N. Jokic - V. Cancar - B. Brown,5,3,2,4.7,4.2,9,46.7,1.8,3.6,50,3.6,4,90,1.6,1.8,3.4,3.2,0.4,1.8,0.6,1,2.2,2.6,13.8,0.8
K. Caldwell-Pope - N. Jokic - J. Murray - B. Brown - M. Porter Jr.,5,3,2,1.6,0.4,1.4,28.6,0,0.4,0,1.8,2,90,0.2,0.8,1,0,0.6,0,0.4,0,0.6,1,2.6,-2
K. Caldwell-Pope - N. Jokic - J. Murray - V. Cancar - B. Brown,5,3,2,1.5,1.6,2.4,66.7,0.4,0.6,66.7,1.4,1.4,100,0,1,1,0.4,0.2,0.2,0,0.2,0.4,1.4,5,2
N. Jokic - J. Murray - V. Cancar - B. Brown - M. Porter Jr.,5,5,0,1.1,1,2.4,41.7,0.2,0.8,25,0.6,1.2,50,0.8,0.4,1.2,0.8,0,0.2,0.2,0,0.2,0.8,2.8,-0.6
K. Caldwell-Pope - N. Jokic - V. Cancar - B. Brown - B. Hyland,5,4,1,0.9,0.8,2.6,30.8,0.2,1.2,16.7,0.4,0.4,100,0.4,1,1.4,0,0,0,0,0,0.2,0.2,2.2,-0.2
K. Caldwell-Pope - A. Gordon - N. Jokic - D. Reed - B. Brown,4,2,2,5.3,4.5,10,45,2,5,40,1.5,2,75,1,3.3,4.3,3.5,1.3,0.5,0.8,0,2.5,1.5,12.5,-0.8
N. Jokic - V. Cancar - B. Brown - M. Porter Jr. - C. Braun,4,4,0,3,2,5.5,36.4,0.8,2.8,27.3,1,1.3,80,0.8,1.3,2,1.8,0.8,0.3,0,0.8,1.5,0.8,5.8,-1.3
K. Caldwell-Pope - A. Gordon - N. Jokic - B. Hyland - C. Braun,4,3,1,2.7,2.5,4.8,52.6,1,2.3,44.4,0.3,0.8,33.3,0,2.5,2.5,1.5,1.3,1,0.3,0.5,1.3,0.8,6.3,0.5
K. Caldwell-Pope - N. Jokic - J. Murray - B. Brown - Z. Nnaji,4,3,1,2.3,1.8,3.3,53.8,0.8,1.5,50,0.3,0.5,50,0.5,1.5,2,1,1,0.3,0,0,0.5,1,4.5,-1.3
J. Green - K. Caldwell-Pope - N. Jokic - B. Hyland - C. Braun,4,4,0,1.8,1.3,3.8,33.3,0.8,2.3,33.3,0,0,0,0.5,1,1.5,0.8,0.3,0.5,0.3,0,0.5,0.3,3.3,-1.5
R. Jackson - K. Caldwell-Pope - A. Gordon - N. Jokic - M. Porter Jr.,4,2,2,1.7,2,3.5,57.1,0.8,1.3,60,0,0,0,0.8,1,1.8,0.8,0.5,0,0,0,0.5,0.3,4.8,0.5
N. Jokic - V. Cancar - B. Brown - M. Porter Jr. - B. Hyland,4,4,0,1.4,1.5,2.5,60,0.3,0.5,50,0.8,0.8,100,0.8,0.3,1,1,0.3,0.5,0,0,0.5,1,4,2
J. Green - I. Smith - K. Caldwell-Pope - N. Jokic - C. Braun,4,2,2,1.1,0.8,2,37.5,0.5,1,50,0.5,0.5,100,0.3,1,1.3,0.5,0,0.3,0.8,0.3,0.3,0.3,2.5,0.5
R. Jackson - K. Caldwell-Pope - A. Gordon - N. Jokic - B. Brown,4,2,2,1.1,0.8,1.8,42.9,0.8,1.3,60,0.8,0.8,100,0,0.5,0.5,0.3,0,0,0.3,0,0.5,0.5,3,-0.3
J. Green - N. Jokic - B. Brown - M. Porter Jr. - B. Hyland,4,3,1,0.8,0.5,1.5,33.3,0,0.8,0,0.5,0.5,100,0,0.8,0.8,0.3,0,0.5,0,0,0.3,0.5,1.5,0
A. Gordon - N. Jokic - J. Murray - V. Cancar - C. Braun,4,3,1,0.7,0.5,1.8,28.6,0,0,0,0.3,0.5,50,0.5,0,0.5,0.3,0,0,0,0.5,0.3,0.5,1.3,-1
