LINEUPS,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - M. Porter Jr.,41,27,14,706,1853,723,1336,54.1,193,461,41.9,214,285,75.1,146,491,637,505,190,124,54,62,221,269,201
K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - B. Brown,40,27,13,326,819,307,579,53,79,210,37.6,126,168,75,68,215,283,214,88,47,32,22,112,161,61
K. Caldwell-Pope - A. Gordon - N. Jokic - B. Brown - M. Porter Jr.,34,22,12,224,603,222,416,53.4,58,149,38.9,101,124,81.5,41,157,198,157,62,34,23,20,84,93,71
K. Caldwell-Pope - A. Gordon - N. Jokic - B. Brown - C. Braun,26,16,10,64,168,65,113,57.5,14,31,45.2,24,29,82.8,14,47,61,45,27,17,8,7,30,31,37
A. Gordon - N. Jokic - J. Murray - B. Brown - M. Porter Jr.,15,12,3,60,157,60,106,56.6,21,45,46.7,16,21,76.2,12,48,60,44,20,8,8,6,16,20,39
K. Caldwell-Pope - A. Gordon - N. Jokic - B. Brown - B. Hyland,15,12,3,24,57,24,46,52.2,6,11,54.5,3,5,60,9,14,23,16,6,2,0,2,8,9,-6
J. Green - K. Caldwell-Pope - N. Jokic - J. Murray - B. Brown,15,10,5,17,43,16,36,44.4,3,7,42.9,8,9,88.9,6,12,18,8,4,1,1,2,4,9,-5
K. Caldwell-Pope - N. Jokic - V. Cancar - B. Brown - M. Porter Jr.,14,14,0,79,214,82,148,55.4,19,49,38.8,31,35,88.6,16,51,67,62,20,11,8,7,17,35,34
J. Green - K. Caldwell-Pope - N. Jokic - B. Brown - C. Braun,13,9,4,20,58,22,35,62.9,7,12,58.3,7,8,87.5,3,10,13,17,7,8,3,1,9,7,10
A. Gordon - N. Jokic - J. Murray - B. Brown - C. Braun,11,10,1,9,18,8,16,50,2,8,25,0,2,0,1,9,10,4,4,0,0,0,2,3,0
J. Green - N. Jokic - J. Murray - B. Brown - C. Braun,10,8,2,17,43,15,25,60,4,8,50,9,11,81.8,0,9,9,11,9,4,3,0,4,9,1
A. Gordon - N. Jokic - J. Murray - B. Brown - B. Hyland,10,8,2,7,22,10,11,90.9,1,1,100,1,1,100,0,2,2,7,3,1,1,0,0,1,2
J. Green - K. Caldwell-Pope - A. Gordon - J. Murray - B. Brown,10,3,7,6,21,7,8,87.5,5,5,100,2,3,66.7,0,1,1,7,2,1,1,1,2,3,5
A. Gordon - N. Jokic - B. Brown - B. Hyland - C. Braun,10,7,3,4,11,3,4,75,1,2,50,4,6,66.7,1,4,5,2,3,0,1,0,3,4,3
J. Murray - V. Cancar - B. Brown - Z. Nnaji - B. Hyland,9,7,2,59,134,45,113,39.8,21,50,42,23,34,67.6,20,35,55,18,13,8,3,7,25,24,-4
K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - C. Braun,9,7,2,24,64,30,49,61.2,3,15,20,1,1,100,3,19,22,21,6,5,3,2,2,5,6
J. Green - N. Jokic - B. Brown - B. Hyland - C. Braun,9,7,2,19,51,17,34,50,5,13,38.5,12,18,66.7,4,16,20,13,4,1,1,1,4,15,9
N. Jokic - J. Murray - V. Cancar - B. Brown - B. Hyland,9,8,1,18,46,18,32,56.3,3,11,27.3,7,8,87.5,3,10,13,13,9,4,2,3,6,9,-5
J. Green - K. Caldwell-Pope - N. Jokic - J. Murray - M. Porter Jr.,9,5,4,14,38,13,29,44.8,4,7,57.1,8,9,88.9,7,8,15,6,3,2,0,1,6,9,11
J. Green - N. Jokic - J. Murray - B. Brown - M. Porter Jr.,9,7,2,11,29,8,15,53.3,5,10,50,8,8,100,0,9,9,6,3,2,0,1,8,6,2
J. Green - A. Gordon - N. Jokic - J. Murray - B. Brown,9,6,3,9,24,8,17,47.1,1,4,25,7,7,100,3,5,8,5,2,3,0,3,2,4,4
J. Green - N. Jokic - B. Brown - M. Porter Jr. - C. Braun,8,6,2,23,60,26,41,63.4,7,17,41.2,1,2,50,1,20,21,21,5,7,1,3,10,3,13
K. Caldwell-Pope - A. Gordon - N. Jokic - M. Porter Jr. - B. Hyland,8,6,2,15,41,16,35,45.7,6,10,60,3,6,50,10,10,20,10,2,0,0,2,7,6,-3
J. Green - K. Caldwell-Pope - N. Jokic - B. Brown - B. Hyland,8,7,1,13,33,13,23,56.5,2,7,28.6,5,8,62.5,1,8,9,11,3,1,2,1,3,8,5
J. Green - K. Caldwell-Pope - A. Gordon - N. Jokic - B. Brown,8,6,2,7,21,9,15,60,2,4,50,1,2,50,3,10,13,8,1,0,1,1,1,2,9
J. Green - J. Murray - B. Brown - Z. Nnaji - C. Braun,7,5,2,48,103,35,76,46.1,12,33,36.4,21,27,77.8,6,35,41,20,12,5,3,4,28,18,-11
J. Green - D. Jordan - B. Brown - B. Hyland - C. Braun,7,6,1,25,53,19,39,48.7,5,16,31.3,10,16,62.5,2,19,21,11,8,1,5,5,13,10,-12
J. Green - R. Jackson - N. Jokic - J. Murray - B. Brown,7,4,3,23,46,15,40,37.5,4,22,18.2,12,18,66.7,7,11,18,9,8,4,4,1,8,11,-19
J. Green - A. Gordon - J. Murray - B. Brown - M. Porter Jr.,7,5,2,19,45,18,36,50,3,13,23.1,6,9,66.7,4,13,17,10,4,1,3,1,6,9,-4
I. Smith - V. Cancar - D. Reed - Z. Nnaji - C. Braun,7,6,1,18,28,8,25,32,2,10,20,10,11,90.9,2,16,18,6,10,2,2,1,8,7,-7
K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - V. Cancar,7,4,3,15,48,20,33,60.6,3,9,33.3,5,6,83.3,5,8,13,12,4,4,2,3,5,6,14
A. Gordon - N. Jokic - B. Brown - M. Porter Jr. - C. Braun,7,5,2,12,25,8,18,44.4,3,9,33.3,6,6,100,0,8,8,5,6,2,0,0,6,7,-3
J. Green - K. Caldwell-Pope - N. Jokic - B. Brown - M. Porter Jr.,7,6,1,12,40,14,19,73.7,3,7,42.9,9,11,81.8,1,9,10,11,4,1,0,0,5,11,10
A. Gordon - J. Murray - B. Brown - Z. Nnaji - C. Braun,7,4,3,4,5,2,9,22.2,1,4,25,0,0,0,1,4,5,1,0,0,0,0,0,1,1
K. Caldwell-Pope - N. Jokic - J. Murray - V. Cancar - M. Porter Jr.,6,5,1,69,172,62,130,47.7,24,61,39.3,24,30,80,18,50,68,47,18,9,7,4,26,31,11
J. Green - K. Caldwell-Pope - B. Brown - Z. Nnaji - C. Braun,6,5,1,25,46,17,41,41.5,4,16,25,8,11,72.7,3,17,20,12,10,3,4,0,16,9,-16
J. Green - K. Caldwell-Pope - A. Gordon - J. Murray - M. Porter Jr.,6,2,4,23,44,16,46,34.8,5,20,25,7,8,87.5,10,17,27,7,8,4,0,2,8,10,-6
K. Caldwell-Pope - A. Gordon - J. Murray - M. Porter Jr. - Z. Nnaji,6,5,1,22,53,20,41,48.8,3,12,25,10,13,76.9,7,13,20,11,4,5,2,2,12,8,12
K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - B. Hyland,6,4,2,18,57,18,30,60,5,10,50,16,19,84.2,4,12,16,13,5,3,1,1,11,14,10
J. Green - D. Jordan - K. Caldwell-Pope - B. Brown - B. Hyland,6,5,1,15,37,12,24,50,5,11,45.5,8,9,88.9,2,11,13,10,7,2,3,1,6,5,7
J. Green - K. Caldwell-Pope - A. Gordon - B. Brown - C. Braun,6,3,3,13,30,10,18,55.6,3,6,50,7,11,63.6,0,9,9,9,6,3,2,0,11,6,-5
J. Green - N. Jokic - J. Murray - B. Brown - B. Hyland,6,4,2,12,32,14,22,63.6,2,6,33.3,2,3,66.7,2,6,8,11,6,2,1,0,3,4,-5
J. Green - R. Jackson - K. Caldwell-Pope - N. Jokic - B. Brown,6,3,3,11,25,11,21,52.4,3,8,37.5,0,0,0,4,8,12,10,3,1,0,0,5,2,-6
J. Green - N. Jokic - J. Murray - B. Hyland - C. Braun,6,6,0,8,23,9,19,47.4,2,4,50,3,5,60,4,8,12,7,1,2,1,2,2,3,3
I. Smith - K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray,6,5,1,6,14,5,9,55.6,3,5,60,1,1,100,1,4,5,5,4,3,2,0,1,2,5
A. Gordon - N. Jokic - B. Brown - M. Porter Jr. - B. Hyland,6,4,2,5,13,5,10,50,3,5,60,0,0,0,1,5,6,4,1,0,0,0,1,3,1
J. Green - D. Jordan - J. Murray - B. Hyland - C. Braun,5,4,1,30,68,26,55,47.3,6,19,31.6,10,11,90.9,9,21,30,16,7,1,4,2,11,7,-5
D. Jordan - K. Caldwell-Pope - A. Gordon - J. Murray - M. Porter Jr.,5,3,2,29,71,26,44,59.1,9,19,47.4,10,13,76.9,3,18,21,15,13,5,0,0,8,10,-5
K. Caldwell-Pope - V. Cancar - B. Brown - Z. Nnaji - B. Hyland,5,4,1,24,66,24,47,51.1,10,24,41.7,8,9,88.9,7,18,25,14,5,6,3,1,8,9,30
K. Caldwell-Pope - A. Gordon - N. Jokic - V. Cancar - B. Brown,5,3,2,23,65,22,36,61.1,6,13,46.2,15,18,83.3,7,13,20,16,12,1,5,3,13,11,-4
V. Cancar - B. Brown - Z. Nnaji - B. Hyland - C. Braun,5,4,1,18,31,13,35,37.1,3,19,15.8,2,2,100,5,14,19,6,4,0,1,3,9,3,-8
J. Green - R. Jackson - J. Murray - T. Bryant - B. Brown,5,3,2,15,20,7,24,29.2,3,8,37.5,3,4,75,2,13,15,4,3,1,0,3,11,4,-15
I. Smith - V. Cancar - Z. Nnaji - C. Braun - P. Watson,5,1,4,14,23,9,22,40.9,1,5,20,4,8,50,1,12,13,6,7,1,3,1,9,5,-7
J. Green - K. Caldwell-Pope - B. Brown - Z. Nnaji - B. Hyland,5,3,2,9,15,5,16,31.3,0,3,0,5,5,100,1,3,4,2,0,1,0,2,3,5,-6
K. Caldwell-Pope - N. Jokic - J. Murray - B. Brown - M. Porter Jr.,5,3,2,8,23,8,15,53.3,3,7,42.9,4,6,66.7,3,4,7,5,1,2,0,2,5,3,10
K. Caldwell-Pope - N. Jokic - J. Murray - V. Cancar - B. Brown,5,3,2,7,15,6,14,42.9,2,5,40,1,2,50,4,3,7,4,4,0,1,0,7,2,-10
N. Jokic - J. Murray - V. Cancar - B. Brown - M. Porter Jr.,5,5,0,5,17,7,9,77.8,3,4,75,0,0,0,0,5,5,7,1,0,0,1,4,1,3
J. Green - A. Gordon - B. Brown - M. Porter Jr. - C. Braun,5,2,3,5,17,5,10,50,4,5,80,3,4,75,3,2,5,4,3,1,1,1,2,2,3
K. Caldwell-Pope - N. Jokic - V. Cancar - B. Brown - B. Hyland,5,4,1,5,12,5,11,45.5,2,6,33.3,0,0,0,1,4,5,3,0,0,0,0,1,1,1
J. Green - D. Jordan - K. Caldwell-Pope - B. Hyland - C. Braun,5,5,0,4,2,1,7,14.3,0,5,0,0,0,0,0,2,2,1,1,0,0,0,0,0,-9
J. Green - D. Jordan - B. Brown - M. Porter Jr. - B. Hyland,4,3,1,27,55,21,53,39.6,6,16,37.5,7,8,87.5,8,21,29,11,11,3,4,3,11,11,-8
K. Caldwell-Pope - A. Gordon - J. Murray - B. Brown - Z. Nnaji,4,2,2,27,51,20,50,40,5,17,29.4,6,17,35.3,8,22,30,8,5,2,3,4,9,16,-1
J. Green - D. Jordan - M. Porter Jr. - B. Hyland - C. Braun,4,4,0,23,71,27,48,56.3,11,21,52.4,6,9,66.7,8,21,29,12,6,0,2,2,12,9,15
K. Caldwell-Pope - A. Gordon - N. Jokic - D. Reed - B. Brown,4,2,2,21,53,18,36,50,4,12,33.3,13,16,81.3,5,17,22,13,6,4,0,3,6,10,3
J. Green - J. Murray - B. Brown - Z. Nnaji - B. Hyland,4,1,3,19,39,14,29,48.3,7,15,46.7,4,4,100,2,15,17,9,5,4,3,1,7,4,-2
D. Jordan - J. Murray - V. Cancar - B. Brown - B. Hyland,4,4,0,18,37,15,29,51.7,4,10,40,3,3,100,1,6,7,9,8,5,2,1,13,2,-13
N. Jokic - V. Cancar - B. Brown - M. Porter Jr. - C. Braun,4,4,0,12,28,9,17,52.9,3,9,33.3,7,10,70,1,10,11,9,4,1,3,0,3,6,5
J. Green - D. Jordan - J. Murray - B. Brown - B. Hyland,4,2,2,12,21,9,21,42.9,3,8,37.5,0,0,0,1,6,7,6,3,2,0,1,3,2,-10
K. Caldwell-Pope - A. Gordon - N. Jokic - B. Hyland - C. Braun,4,3,1,11,23,9,22,40.9,3,7,42.9,2,4,50,2,10,12,4,6,4,2,1,3,5,-2
J. Green - A. Gordon - J. Murray - B. Brown - C. Braun,4,2,2,10,15,6,12,50,0,2,0,3,6,50,0,5,5,5,2,1,1,1,5,6,-1
K. Caldwell-Pope - N. Jokic - J. Murray - B. Brown - Z. Nnaji,4,3,1,9,23,8,17,47.1,3,6,50,4,4,100,1,4,5,6,1,4,0,0,4,2,5
J. Green - K. Caldwell-Pope - N. Jokic - B. Hyland - C. Braun,4,4,0,7,19,7,14,50,1,2,50,4,4,100,3,6,9,4,2,1,0,1,1,2,6
R. Jackson - K. Caldwell-Pope - A. Gordon - N. Jokic - M. Porter Jr.,4,2,2,7,17,7,13,53.8,3,7,42.9,0,0,0,1,4,5,5,0,0,0,0,1,2,-2
N. Jokic - V. Cancar - B. Brown - M. Porter Jr. - B. Hyland,4,4,0,6,8,3,7,42.9,0,1,0,2,4,50,2,1,3,1,3,0,0,0,4,2,-8
J. Green - J. Murray - B. Brown - M. Porter Jr. - Z. Nnaji,4,4,0,5,8,2,7,28.6,1,2,50,3,4,75,1,3,4,2,2,1,1,0,4,2,-4
D. Jordan - K. Caldwell-Pope - A. Gordon - J. Murray - B. Brown,4,3,1,5,11,4,8,50,2,3,66.7,1,2,50,2,2,4,1,4,2,2,0,2,2,2
J. Green - I. Smith - K. Caldwell-Pope - N. Jokic - C. Braun,4,2,2,5,8,3,10,30,0,1,0,2,2,100,0,4,4,3,1,0,1,3,1,1,-2
R. Jackson - K. Caldwell-Pope - A. Gordon - N. Jokic - B. Brown,4,2,2,4,13,5,10,50,1,3,33.3,2,4,50,2,4,6,4,0,0,0,1,2,2,1
D. Jordan - K. Caldwell-Pope - B. Brown - Z. Nnaji - B. Hyland,4,2,2,4,6,3,11,27.3,0,4,0,0,0,0,3,4,7,2,0,0,0,0,3,2,-2
K. Caldwell-Pope - A. Gordon - J. Murray - B. Brown - M. Porter Jr.,4,4,0,3,7,2,5,40,1,1,100,2,2,100,1,1,2,1,0,0,1,1,1,1,0
J. Green - N. Jokic - B. Brown - M. Porter Jr. - B. Hyland,4,3,1,3,6,2,6,33.3,1,3,33.3,1,1,100,0,4,4,2,3,0,0,0,2,1,0
J. Green - D. Jordan - J. Murray - B. Brown - M. Porter Jr.,4,1,3,3,4,2,5,40,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,-4
A. Gordon - N. Jokic - J. Murray - V. Cancar - C. Braun,4,3,1,3,9,3,4,75,1,2,50,2,2,100,0,2,2,3,2,0,2,0,2,1,4
R. Jackson - A. Gordon - N. Jokic - J. Murray - B. Brown,4,2,2,3,8,3,5,60,2,3,66.7,0,0,0,1,2,3,3,2,0,0,0,2,1,2
J. Green - R. Jackson - T. Bryant - B. Brown - C. Braun,3,1,2,29,47,17,52,32.7,6,18,33.3,7,10,70,10,20,30,11,8,3,2,1,11,8,-15
J. Green - J. Murray - T. Bryant - B. Brown - C. Braun,3,1,2,25,44,19,47,40.4,3,16,18.8,3,5,60,5,17,22,11,5,3,1,3,9,3,-9
J. Green - D. Jordan - K. Caldwell-Pope - B. Brown - M. Porter Jr.,3,1,2,22,52,21,39,53.8,3,9,33.3,7,9,77.8,6,15,21,14,10,3,2,0,6,6,2
J. Green - R. Jackson - K. Caldwell-Pope - T. Bryant - B. Brown,3,2,1,18,34,12,34,35.3,4,10,40,6,6,100,4,14,18,8,6,1,0,1,6,6,-7
A. Gordon - V. Cancar - B. Brown - Z. Nnaji - C. Braun,3,1,2,17,28,10,32,31.3,3,10,30,5,7,71.4,5,12,17,6,8,6,5,3,2,7,-7
A. Gordon - N. Jokic - J. Murray - M. Porter Jr. - C. Braun,3,2,1,15,47,18,28,64.3,4,9,44.4,7,8,87.5,2,14,16,9,3,4,0,1,6,7,13
J. Green - D. Jordan - J. Murray - B. Brown - C. Braun,3,2,1,13,22,10,18,55.6,1,6,16.7,1,2,50,2,8,10,5,10,5,2,1,3,4,-5
I. Smith - D. Reed - Z. Nnaji - C. Braun - J. White,3,3,0,9,15,6,16,37.5,1,5,20,2,2,100,4,5,9,2,4,2,1,3,4,2,-5
J. Green - J. Murray - Z. Nnaji - B. Hyland - C. Braun,3,1,2,9,19,7,13,53.8,5,5,100,0,1,0,0,3,3,4,2,1,1,2,5,4,1
I. Smith - T. Bryant - V. Cancar - C. Braun - P. Watson,3,2,1,8,16,7,12,58.3,2,2,100,0,0,0,1,3,4,6,4,0,0,0,4,0,-5
V. Cancar - D. Reed - B. Brown - Z. Nnaji - C. Braun,3,2,1,8,13,5,14,35.7,3,7,42.9,0,2,0,1,2,3,4,3,3,0,2,3,2,-7
I. Smith - V. Cancar - D. Reed - Z. Nnaji - P. Watson,3,2,1,7,15,6,12,50,0,3,0,3,4,75,1,5,6,3,5,4,1,0,1,2,-3
A. Gordon - N. Jokic - J. Murray - M. Porter Jr. - B. Hyland,3,2,1,7,20,8,14,57.1,4,6,66.7,0,0,0,3,7,10,4,0,0,0,0,1,0,2
J. Green - D. Jordan - B. Brown - M. Porter Jr. - C. Braun,3,1,2,7,17,6,11,54.5,1,4,25,4,4,100,0,2,2,2,2,1,1,1,1,4,1
I. Smith - T. Bryant - C. Braun - P. Watson - J. White,3,2,1,6,16,6,9,66.7,3,4,75,1,2,50,1,4,5,6,2,1,0,0,1,1,7
A. Gordon - N. Jokic - V. Cancar - B. Brown - C. Braun,3,3,0,5,11,3,10,30,1,4,25,4,5,80,2,4,6,2,1,0,0,2,1,4,1
J. Green - I. Smith - N. Jokic - B. Brown - C. Braun,3,2,1,5,14,6,8,75,1,2,50,1,2,50,0,5,5,5,2,0,0,1,2,1,1
J. Green - I. Smith - N. Jokic - M. Porter Jr. - C. Braun,3,3,0,5,9,4,7,57.1,1,3,33.3,0,0,0,0,3,3,3,2,0,0,0,4,0,-1
J. Green - R. Jackson - K. Caldwell-Pope - B. Brown - C. Braun,3,2,1,4,8,2,6,33.3,0,2,0,4,5,80,1,3,4,1,1,1,2,0,2,3,-8
D. Jordan - I. Smith - A. Gordon - J. Murray - D. Reed,3,2,1,4,12,5,8,62.5,2,5,40,0,0,0,3,4,7,3,2,0,1,0,2,1,8
J. Green - D. Jordan - K. Caldwell-Pope - J. Murray - B. Brown,3,1,2,4,5,2,5,40,1,2,50,0,2,0,1,2,3,0,1,0,2,0,1,2,-4
K. Caldwell-Pope - N. Jokic - J. Murray - V. Cancar - B. Hyland,3,2,1,4,5,2,5,40,0,2,0,1,4,25,0,3,3,1,3,2,0,0,1,2,1
J. Green - D. Reed - B. Brown - B. Hyland - C. Braun,3,2,1,3,9,3,6,50,2,3,66.7,1,2,50,0,1,1,2,1,0,0,1,2,3,0
J. Green - A. Gordon - J. Murray - B. Brown - B. Hyland,3,1,2,3,5,2,7,28.6,1,3,33.3,0,0,0,2,1,3,0,0,1,0,0,0,1,-6
A. Gordon - N. Jokic - V. Cancar - B. Brown - B. Hyland,3,2,1,3,8,3,3,100,1,1,100,1,2,50,0,2,2,3,2,0,0,0,0,1,4
D. Jordan - K. Caldwell-Pope - A. Gordon - B. Brown - B. Hyland,3,2,1,3,8,3,4,75,1,1,100,1,2,50,0,0,0,2,0,1,0,1,1,1,2
K. Caldwell-Pope - J. Murray - B. Brown - M. Porter Jr. - Z. Nnaji,3,2,1,3,9,3,6,50,1,1,100,2,4,50,0,1,1,3,1,0,0,2,1,2,1
J. Green - K. Caldwell-Pope - N. Jokic - J. Murray - B. Hyland,3,1,2,3,7,3,6,50,0,2,0,1,3,33.3,0,2,2,2,0,0,0,0,0,3,0
K. Caldwell-Pope - A. Gordon - M. Porter Jr. - Z. Nnaji - B. Hyland,3,2,1,3,6,2,6,33.3,0,4,0,2,2,100,1,4,5,0,1,1,2,0,0,1,1
J. Green - I. Smith - K. Caldwell-Pope - T. Bryant - C. Braun,2,2,0,26,62,24,41,58.5,5,10,50,9,10,90,5,16,21,14,8,2,2,0,10,9,1
D. Jordan - V. Cancar - B. Brown - C. Braun - P. Watson,2,1,1,22,49,17,35,48.6,1,5,20,14,19,73.7,6,14,20,10,8,6,1,3,7,13,-5
D. Jordan - I. Smith - V. Cancar - D. Reed - B. Brown,2,2,0,19,52,19,37,51.4,6,13,46.2,8,8,100,4,17,21,12,3,2,2,1,7,7,13
R. Jackson - J. Murray - T. Bryant - V. Cancar - B. Brown,2,2,0,16,33,11,28,39.3,6,17,35.3,5,8,62.5,1,13,14,7,2,1,3,4,4,8,-9
J. Green - D. Jordan - D. Reed - B. Hyland - C. Braun,2,2,0,12,28,9,19,47.4,2,4,50,8,10,80,1,7,8,5,4,4,1,0,7,9,2
J. Green - A. Gordon - B. Brown - B. Hyland - C. Braun,2,0,2,11,28,11,25,44,3,9,33.3,3,4,75,5,6,11,7,1,2,1,2,8,4,5
K. Caldwell-Pope - N. Jokic - J. Murray - M. Porter Jr. - Z. Nnaji,2,2,0,11,26,10,22,45.5,2,7,28.6,4,4,100,2,9,11,6,3,2,0,1,6,4,0
